Name;ShortName;ModeAndPID;Equation;Min Value;Max Value;Units;Header
Температура салона;Температура салона;2101;B/2-40;-40;90;;
Температура окружающей среды;Температура окружающей среды;2101;C/2-40;-40;90;;
Температура испарителя;Температура испарителя;2101;D/2-40;-40;90;;
Датчик освещенности;Датчик освещенности;2101;E/255*5;0;5;;
Положение заслонки смешивания воздуха;Положение заслонки смешивания воздуха;2101;F/2.55;0;100;;
Положение заслонки направления;Положение заслонки направления;2101;G/2.55;0;100;;
Положение заслонки рециркуляции;Положение заслонки рециркуляции;2101;L/2.55;0;100;;
Скорость автомобиля;Скорость автомобиля;2101;Z;0;255;;
Температура охлаждающей жидкости;Температура охлаждающей жидкости;2101;AA*0.75-48;-48;143;;
